L,A,B
60,-85.1875,-106.859375
60,-80.1875,-106.859375
60,-75.1875,-106.859375
60,-70.1875,-106.859375
60,-65.1875,-106.859375
60,-60.1875,-106.859375
60,-55.1875,-106.859375
60,-50.1875,-106.859375
60,-45.1875,-106.859375
60,-40.1875,-106.859375
60,-35.1875,-106.859375
60,-30.1875,-106.859375
60,-25.1875,-106.859375
60,-20.1875,-106.859375
60,-15.1875,-106.859375
60,-10.1875,-106.859375
60,-5.1875,-106.859375
60,-0.1875,-106.859375
60,4.8125,-106.859375
60,9.8125,-106.859375
60,14.8125,-106.859375
60,19.8125,-106.859375
60,24.8125,-106.859375
60,29.8125,-106.859375
60,34.8125,-106.859375
60,39.8125,-106.859375
60,44.8125,-106.859375
60,49.8125,-106.859375
60,54.8125,-106.859375
60,59.8125,-106.859375
60,64.8125,-106.859375
60,69.8125,-106.859375
60,74.8125,-106.859375
60,79.8125,-106.859375
60,-85.1875,-101.859375
60,-80.1875,-101.859375
60,-75.1875,-101.859375
60,-70.1875,-101.859375
60,-65.1875,-101.859375
60,-60.1875,-101.859375
60,-55.1875,-101.859375
60,-50.1875,-101.859375
60,-45.1875,-101.859375
60,-40.1875,-101.859375
60,-35.1875,-101.859375
60,-30.1875,-101.859375
60,-25.1875,-101.859375
60,-20.1875,-101.859375
60,-15.1875,-101.859375
60,-10.1875,-101.859375
60,-5.1875,-101.859375
60,-0.1875,-101.859375
60,4.8125,-101.859375
60,9.8125,-101.859375
60,14.8125,-101.859375
60,19.8125,-101.859375
60,24.8125,-101.859375
60,29.8125,-101.859375
60,34.8125,-101.859375
60,39.8125,-101.859375
60,44.8125,-101.859375
60,49.8125,-101.859375
60,54.8125,-101.859375
60,59.8125,-101.859375
60,64.8125,-101.859375
60,69.8125,-101.859375
60,74.8125,-101.859375
60,79.8125,-101.859375
60,-85.1875,-96.859375
60,-80.1875,-96.859375
60,-75.1875,-96.859375
60,-70.1875,-96.859375
60,-65.1875,-96.859375
60,-60.1875,-96.859375
60,-55.1875,-96.859375
60,-50.1875,-96.859375
60,-45.1875,-96.859375
60,-40.1875,-96.859375
60,-35.1875,-96.859375
60,-30.1875,-96.859375
60,-25.1875,-96.859375
60,-20.1875,-96.859375
60,-15.1875,-96.859375
60,-10.1875,-96.859375
60,-5.1875,-96.859375
60,-0.1875,-96.859375
60,4.8125,-96.859375
60,9.8125,-96.859375
60,14.8125,-96.859375
60,19.8125,-96.859375
60,24.8125,-96.859375
60,29.8125,-96.859375
60,34.8125,-96.859375
60,39.8125,-96.859375
60,44.8125,-96.859375
60,49.8125,-96.859375
60,54.8125,-96.859375
60,59.8125,-96.859375
60,64.8125,-96.859375
60,69.8125,-96.859375
60,74.8125,-96.859375
60,79.8125,-96.859375
60,-85.1875,-91.859375
60,-80.1875,-91.859375
60,-75.1875,-91.859375
60,-70.1875,-91.859375
60,-65.1875,-91.859375
60,-60.1875,-91.859375
60,-55.1875,-91.859375
60,-50.1875,-91.859375
60,-45.1875,-91.859375
60,-40.1875,-91.859375
60,-35.1875,-91.859375
60,-30.1875,-91.859375
60,-25.1875,-91.859375
60,-20.1875,-91.859375
60,-15.1875,-91.859375
60,-10.1875,-91.859375
60,-5.1875,-91.859375
60,-0.1875,-91.859375
60,4.8125,-91.859375
60,9.8125,-91.859375
60,14.8125,-91.859375
60,19.8125,-91.859375
60,24.8125,-91.859375
60,29.8125,-91.859375
60,34.8125,-91.859375
60,39.8125,-91.859375
60,44.8125,-91.859375
60,49.8125,-91.859375
60,54.8125,-91.859375
60,59.8125,-91.859375
60,64.8125,-91.859375
60,69.8125,-91.859375
60,74.8125,-91.859375
60,79.8125,-91.859375
60,-85.1875,-86.859375
60,-80.1875,-86.859375
60,-75.1875,-86.859375
60,-70.1875,-86.859375
60,-65.1875,-86.859375
60,-60.1875,-86.859375
60,-55.1875,-86.859375
60,-50.1875,-86.859375
60,-45.1875,-86.859375
60,-40.1875,-86.859375
60,-35.1875,-86.859375
60,-30.1875,-86.859375
60,-25.1875,-86.859375
60,-20.1875,-86.859375
60,-15.1875,-86.859375
60,-10.1875,-86.859375
60,-5.1875,-86.859375
60,-0.1875,-86.859375
60,4.8125,-86.859375
60,9.8125,-86.859375
60,14.8125,-86.859375
60,19.8125,-86.859375
60,24.8125,-86.859375
60,29.8125,-86.859375
60,34.8125,-86.859375
60,39.8125,-86.859375
60,44.8125,-86.859375
60,49.8125,-86.859375
60,54.8125,-86.859375
60,59.8125,-86.859375
60,64.8125,-86.859375
60,69.8125,-86.859375
60,74.8125,-86.859375
60,79.8125,-86.859375
60,-85.1875,-81.859375
60,-80.1875,-81.859375
60,-75.1875,-81.859375
60,-70.1875,-81.859375
60,-65.1875,-81.859375
60,-60.1875,-81.859375
60,-55.1875,-81.859375
60,-50.1875,-81.859375
60,-45.1875,-81.859375
60,-40.1875,-81.859375
60,-35.1875,-81.859375
60,-30.1875,-81.859375
60,-25.1875,-81.859375
60,-20.1875,-81.859375
60,-15.1875,-81.859375
60,-10.1875,-81.859375
60,-5.1875,-81.859375
60,-0.1875,-81.859375
60,4.8125,-81.859375
60,9.8125,-81.859375
60,14.8125,-81.859375
60,19.8125,-81.859375
60,24.8125,-81.859375
60,29.8125,-81.859375
60,34.8125,-81.859375
60,39.8125,-81.859375
60,44.8125,-81.859375
60,49.8125,-81.859375
60,54.8125,-81.859375
60,59.8125,-81.859375
60,64.8125,-81.859375
60,69.8125,-81.859375
60,74.8125,-81.859375
60,79.8125,-81.859375
60,-85.1875,-76.859375
60,-80.1875,-76.859375
60,-75.1875,-76.859375
60,-70.1875,-76.859375
60,-65.1875,-76.859375
60,-60.1875,-76.859375
60,-55.1875,-76.859375
60,-50.1875,-76.859375
60,-45.1875,-76.859375
60,-40.1875,-76.859375
60,-35.1875,-76.859375
60,-30.1875,-76.859375
60,-25.1875,-76.859375
60,-20.1875,-76.859375
60,-15.1875,-76.859375
60,-10.1875,-76.859375
60,-5.1875,-76.859375
60,-0.1875,-76.859375
60,4.8125,-76.859375
60,9.8125,-76.859375
60,14.8125,-76.859375
60,19.8125,-76.859375
60,24.8125,-76.859375
60,29.8125,-76.859375
60,34.8125,-76.859375
60,39.8125,-76.859375
60,44.8125,-76.859375
60,49.8125,-76.859375
60,54.8125,-76.859375
60,59.8125,-76.859375
60,64.8125,-76.859375
60,69.8125,-76.859375
60,74.8125,-76.859375
60,79.8125,-76.859375
60,-85.1875,-71.859375
60,-80.1875,-71.859375
60,-75.1875,-71.859375
60,-70.1875,-71.859375
60,-65.1875,-71.859375
60,-60.1875,-71.859375
60,-55.1875,-71.859375
60,-50.1875,-71.859375
60,-45.1875,-71.859375
60,-40.1875,-71.859375
60,-35.1875,-71.859375
60,-30.1875,-71.859375
60,-25.1875,-71.859375
60,-20.1875,-71.859375
60,-15.1875,-71.859375
60,-10.1875,-71.859375
60,-5.1875,-71.859375
60,-0.1875,-71.859375
60,4.8125,-71.859375
60,9.8125,-71.859375
60,14.8125,-71.859375
60,19.8125,-71.859375
60,24.8125,-71.859375
60,29.8125,-71.859375
60,34.8125,-71.859375
60,39.8125,-71.859375
60,44.8125,-71.859375
60,49.8125,-71.859375
60,54.8125,-71.859375
60,59.8125,-71.859375
60,64.8125,-71.859375
60,69.8125,-71.859375
60,74.8125,-71.859375
60,79.8125,-71.859375
60,-85.1875,-66.859375
60,-80.1875,-66.859375
60,-75.1875,-66.859375
60,-70.1875,-66.859375
60,-65.1875,-66.859375
60,-60.1875,-66.859375
60,-55.1875,-66.859375
60,-50.1875,-66.859375
60,-45.1875,-66.859375
60,-40.1875,-66.859375
60,-35.1875,-66.859375
60,-30.1875,-66.859375
60,-25.1875,-66.859375
60,-20.1875,-66.859375
60,-15.1875,-66.859375
60,-10.1875,-66.859375
60,-5.1875,-66.859375
60,-0.1875,-66.859375
60,4.8125,-66.859375
60,9.8125,-66.859375
60,14.8125,-66.859375
60,19.8125,-66.859375
60,24.8125,-66.859375
60,29.8125,-66.859375
60,34.8125,-66.859375
60,39.8125,-66.859375
60,44.8125,-66.859375
60,49.8125,-66.859375
60,54.8125,-66.859375
60,59.8125,-66.859375
60,64.8125,-66.859375
60,69.8125,-66.859375
60,74.8125,-66.859375
60,79.8125,-66.859375
60,-85.1875,-61.859375
60,-80.1875,-61.859375
60,-75.1875,-61.859375
60,-70.1875,-61.859375
60,-65.1875,-61.859375
60,-60.1875,-61.859375
60,-55.1875,-61.859375
60,-50.1875,-61.859375
60,-45.1875,-61.859375
60,-40.1875,-61.859375
60,-35.1875,-61.859375
60,-30.1875,-61.859375
60,-25.1875,-61.859375
60,-20.1875,-61.859375
60,-15.1875,-61.859375
60,-10.1875,-61.859375
60,-5.1875,-61.859375
60,-0.1875,-61.859375
60,4.8125,-61.859375
60,9.8125,-61.859375
60,14.8125,-61.859375
60,19.8125,-61.859375
60,24.8125,-61.859375
60,29.8125,-61.859375
60,34.8125,-61.859375
60,39.8125,-61.859375
60,44.8125,-61.859375
60,49.8125,-61.859375
60,54.8125,-61.859375
60,59.8125,-61.859375
60,64.8125,-61.859375
60,69.8125,-61.859375
60,74.8125,-61.859375
60,79.8125,-61.859375
60,-85.1875,-56.859375
60,-80.1875,-56.859375
60,-75.1875,-56.859375
60,-70.1875,-56.859375
60,-65.1875,-56.859375
60,-60.1875,-56.859375
60,-55.1875,-56.859375
60,-50.1875,-56.859375
60,-45.1875,-56.859375
60,-40.1875,-56.859375
60,-35.1875,-56.859375
60,-30.1875,-56.859375
60,-25.1875,-56.859375
60,-20.1875,-56.859375
60,-15.1875,-56.859375
60,-10.1875,-56.859375
60,-5.1875,-56.859375
60,-0.1875,-56.859375
60,4.8125,-56.859375
60,9.8125,-56.859375
60,14.8125,-56.859375
60,19.8125,-56.859375
60,24.8125,-56.859375
60,29.8125,-56.859375
60,34.8125,-56.859375
60,39.8125,-56.859375
60,44.8125,-56.859375
60,49.8125,-56.859375
60,54.8125,-56.859375
60,59.8125,-56.859375
60,64.8125,-56.859375
60,69.8125,-56.859375
60,74.8125,-56.859375
60,79.8125,-56.859375
60,-85.1875,-51.859375
60,-80.1875,-51.859375
60,-75.1875,-51.859375
60,-70.1875,-51.859375
60,-65.1875,-51.859375
60,-60.1875,-51.859375
60,-55.1875,-51.859375
60,-50.1875,-51.859375
60,-45.1875,-51.859375
60,-40.1875,-51.859375
60,-35.1875,-51.859375
60,-30.1875,-51.859375
60,-25.1875,-51.859375
60,-20.1875,-51.859375
60,-15.1875,-51.859375
60,-10.1875,-51.859375
60,-5.1875,-51.859375
60,-0.1875,-51.859375
60,4.8125,-51.859375
60,9.8125,-51.859375
60,14.8125,-51.859375
60,19.8125,-51.859375
60,24.8125,-51.859375
60,29.8125,-51.859375
60,34.8125,-51.859375
60,39.8125,-51.859375
60,44.8125,-51.859375
60,49.8125,-51.859375
60,54.8125,-51.859375
60,59.8125,-51.859375
60,64.8125,-51.859375
60,69.8125,-51.859375
60,74.8125,-51.859375
60,79.8125,-51.859375
60,-85.1875,-46.859375
60,-80.1875,-46.859375
60,-75.1875,-46.859375
60,-70.1875,-46.859375
60,-65.1875,-46.859375
60,-60.1875,-46.859375
60,-55.1875,-46.859375
60,-50.1875,-46.859375
60,-45.1875,-46.859375
60,-40.1875,-46.859375
60,-35.1875,-46.859375
60,-30.1875,-46.859375
60,-25.1875,-46.859375
60,-20.1875,-46.859375
60,-15.1875,-46.859375
60,-10.1875,-46.859375
60,-5.1875,-46.859375
60,-0.1875,-46.859375
60,4.8125,-46.859375
60,9.8125,-46.859375
60,14.8125,-46.859375
60,19.8125,-46.859375
60,24.8125,-46.859375
60,29.8125,-46.859375
60,34.8125,-46.859375
60,39.8125,-46.859375
60,44.8125,-46.859375
60,49.8125,-46.859375
60,54.8125,-46.859375
60,59.8125,-46.859375
60,64.8125,-46.859375
60,69.8125,-46.859375
60,74.8125,-46.859375
60,79.8125,-46.859375
60,-85.1875,-41.859375
60,-80.1875,-41.859375
60,-75.1875,-41.859375
60,-70.1875,-41.859375
60,-65.1875,-41.859375
60,-60.1875,-41.859375
60,-55.1875,-41.859375
60,-50.1875,-41.859375
60,-45.1875,-41.859375
60,-40.1875,-41.859375
60,-35.1875,-41.859375
60,-30.1875,-41.859375
60,-25.1875,-41.859375
60,-20.1875,-41.859375
60,-15.1875,-41.859375
60,-10.1875,-41.859375
60,-5.1875,-41.859375
60,-0.1875,-41.859375
60,4.8125,-41.859375
60,9.8125,-41.859375
60,14.8125,-41.859375
60,19.8125,-41.859375
60,24.8125,-41.859375
60,29.8125,-41.859375
60,34.8125,-41.859375
60,39.8125,-41.859375
60,44.8125,-41.859375
60,49.8125,-41.859375
60,54.8125,-41.859375
60,59.8125,-41.859375
60,64.8125,-41.859375
60,69.8125,-41.859375
60,74.8125,-41.859375
60,79.8125,-41.859375
60,-85.1875,-36.859375
60,-80.1875,-36.859375
60,-75.1875,-36.859375
60,-70.1875,-36.859375
60,-65.1875,-36.859375
60,-60.1875,-36.859375
60,-55.1875,-36.859375
60,-50.1875,-36.859375
60,-45.1875,-36.859375
60,-40.1875,-36.859375
60,-35.1875,-36.859375
60,-30.1875,-36.859375
60,-25.1875,-36.859375
60,-20.1875,-36.859375
60,-15.1875,-36.859375
60,-10.1875,-36.859375
60,-5.1875,-36.859375
60,-0.1875,-36.859375
60,4.8125,-36.859375
60,9.8125,-36.859375
60,14.8125,-36.859375
60,19.8125,-36.859375
60,24.8125,-36.859375
60,29.8125,-36.859375
60,34.8125,-36.859375
60,39.8125,-36.859375
60,44.8125,-36.859375
60,49.8125,-36.859375
60,54.8125,-36.859375
60,59.8125,-36.859375
60,64.8125,-36.859375
60,69.8125,-36.859375
60,74.8125,-36.859375
60,79.8125,-36.859375
60,-85.1875,-31.859375
60,-80.1875,-31.859375
60,-75.1875,-31.859375
60,-70.1875,-31.859375
60,-65.1875,-31.859375
60,-60.1875,-31.859375
60,-55.1875,-31.859375
60,-50.1875,-31.859375
60,-45.1875,-31.859375
60,-40.1875,-31.859375
60,-35.1875,-31.859375
60,-30.1875,-31.859375
60,-25.1875,-31.859375
60,-20.1875,-31.859375
60,-15.1875,-31.859375
60,-10.1875,-31.859375
60,-5.1875,-31.859375
60,-0.1875,-31.859375
60,4.8125,-31.859375
60,9.8125,-31.859375
60,14.8125,-31.859375
60,19.8125,-31.859375
60,24.8125,-31.859375
60,29.8125,-31.859375
60,34.8125,-31.859375
60,39.8125,-31.859375
60,44.8125,-31.859375
60,49.8125,-31.859375
60,54.8125,-31.859375
60,59.8125,-31.859375
60,64.8125,-31.859375
60,69.8125,-31.859375
60,74.8125,-31.859375
60,79.8125,-31.859375
60,-85.1875,-26.859375
60,-80.1875,-26.859375
60,-75.1875,-26.859375
60,-70.1875,-26.859375
60,-65.1875,-26.859375
60,-60.1875,-26.859375
60,-55.1875,-26.859375
60,-50.1875,-26.859375
60,-45.1875,-26.859375
60,-40.1875,-26.859375
60,-35.1875,-26.859375
60,-30.1875,-26.859375
60,-25.1875,-26.859375
60,-20.1875,-26.859375
60,-15.1875,-26.859375
60,-10.1875,-26.859375
60,-5.1875,-26.859375
60,-0.1875,-26.859375
60,4.8125,-26.859375
60,9.8125,-26.859375
60,14.8125,-26.859375
60,19.8125,-26.859375
60,24.8125,-26.859375
60,29.8125,-26.859375
60,34.8125,-26.859375
60,39.8125,-26.859375
60,44.8125,-26.859375
60,49.8125,-26.859375
60,54.8125,-26.859375
60,59.8125,-26.859375
60,64.8125,-26.859375
60,69.8125,-26.859375
60,74.8125,-26.859375
60,79.8125,-26.859375
60,-85.1875,-21.859375
60,-80.1875,-21.859375
60,-75.1875,-21.859375
60,-70.1875,-21.859375
60,-65.1875,-21.859375
60,-60.1875,-21.859375
60,-55.1875,-21.859375
60,-50.1875,-21.859375
60,-45.1875,-21.859375
60,-40.1875,-21.859375
60,-35.1875,-21.859375
60,-30.1875,-21.859375
60,-25.1875,-21.859375
60,-20.1875,-21.859375
60,-15.1875,-21.859375
60,-10.1875,-21.859375
60,-5.1875,-21.859375
60,-0.1875,-21.859375
60,4.8125,-21.859375
60,9.8125,-21.859375
60,14.8125,-21.859375
60,19.8125,-21.859375
60,24.8125,-21.859375
60,29.8125,-21.859375
60,34.8125,-21.859375
60,39.8125,-21.859375
60,44.8125,-21.859375
60,49.8125,-21.859375
60,54.8125,-21.859375
60,59.8125,-21.859375
60,64.8125,-21.859375
60,69.8125,-21.859375
60,74.8125,-21.859375
60,79.8125,-21.859375
60,-85.1875,-16.859375
60,-80.1875,-16.859375
60,-75.1875,-16.859375
60,-70.1875,-16.859375
60,-65.1875,-16.859375
60,-60.1875,-16.859375
60,-55.1875,-16.859375
60,-50.1875,-16.859375
60,-45.1875,-16.859375
60,-40.1875,-16.859375
60,-35.1875,-16.859375
60,-30.1875,-16.859375
60,-25.1875,-16.859375
60,-20.1875,-16.859375
60,-15.1875,-16.859375
60,-10.1875,-16.859375
60,-5.1875,-16.859375
60,-0.1875,-16.859375
60,4.8125,-16.859375
60,9.8125,-16.859375
60,14.8125,-16.859375
60,19.8125,-16.859375
60,24.8125,-16.859375
60,29.8125,-16.859375
60,34.8125,-16.859375
60,39.8125,-16.859375
60,44.8125,-16.859375
60,49.8125,-16.859375
60,54.8125,-16.859375
60,59.8125,-16.859375
60,64.8125,-16.859375
60,69.8125,-16.859375
60,74.8125,-16.859375
60,79.8125,-16.859375
60,-85.1875,-11.859375
60,-80.1875,-11.859375
60,-75.1875,-11.859375
60,-70.1875,-11.859375
60,-65.1875,-11.859375
60,-60.1875,-11.859375
60,-55.1875,-11.859375
60,-50.1875,-11.859375
60,-45.1875,-11.859375
60,-40.1875,-11.859375
60,-35.1875,-11.859375
60,-30.1875,-11.859375
60,-25.1875,-11.859375
60,-20.1875,-11.859375
60,-15.1875,-11.859375
60,-10.1875,-11.859375
60,-5.1875,-11.859375
60,-0.1875,-11.859375
60,4.8125,-11.859375
60,9.8125,-11.859375
60,14.8125,-11.859375
60,19.8125,-11.859375
60,24.8125,-11.859375
60,29.8125,-11.859375
60,34.8125,-11.859375
60,39.8125,-11.859375
60,44.8125,-11.859375
60,49.8125,-11.859375
60,54.8125,-11.859375
60,59.8125,-11.859375
60,64.8125,-11.859375
